CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
323910,0071 VIRGEN DEL CARMEN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01040000000,-12.00288000000,10/27/2016,,210,-12.00288-77.0104
323849,0051 LOS PASTORCITOS DE NUESTRA SE├æORA DE FATIMA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00965000000,-12.00595000000,10/27/2016,,215,-12.00595-77.00965
323750,0015 LAS AZUCENAS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01698000000,-12.03118000000,10/26/2016,,204,-12.03118-77.01698
507914,CEBA - SANTA RITA DEL CARMEN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99839000000,-11.97325000000,11/3/2016,,251,-11.97325-76.99839
327734,VIRGEN DE LAS NIEVES,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01260000000,-11.97902000000,10/31/2016,,236,-11.97902-77.0126
327423,ABRAHAM LINCOLN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.96858000000,-12.02308000000,10/25/2016,,261,-12.02308-76.96858
327324,EL PIONERO DEL SABER,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99074000000,-12.02387000000,11/4/2016,,224,-12.02387-76.99074
328012,NI├æO CHAPERITO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99744000000,-12.00755000000,11/7/2016,,213,-12.00755-76.99744
323788,0036 MADRE MARIA AUXILIADORA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01139000000,-12.02420000000,10/27/2016,,196,-12.0242-77.01139
324132,0113 DIVINO NI├æO JESUS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99183000000,-11.96987000000,10/31/2016,,263,-11.96987-76.99183
