UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
81105,CUSCO,PAUCARTAMBO,HUANCARANI,131463,Huancarani,HUANCARANI,3,1,IPS,811050001,,811050001,MED-GPS,3850,-71.65464127,-13.50298041,-85.15762168
90610,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,113316,San Antonio de Cusicancha,SAN ANTONIO DE CUSICANCHA,3,1,IPS,906100001,,906100001,MED-GPS,3266,-75.29364577,-13.50245654,-88.79610231
30605,APURIMAC,CHINCHEROS,OCOBAMBA,130323,Ocobamba,OCOBAMBA,3,1,GIPSLE,306050001,,306050001,MED-GPS,3015,-73.56043858,-13.4825513,-87.04298988
80406,CUSCO,CALCA,SAN SALVADOR,122887,San Salvador,SAN SALVADOR,3,1,IPS,804060001,,804060001,MED-GPS,3012,-71.77847865,-13.49218229,-85.27066094
50506,AYACUCHO,LA MAR,LUIS CARRANZA,126159,Pampas,PAMPAS,3,1,IP,505060001,,505060001,MED-GPS,2950,-73.89430168,-13.22889015,-87.12319183
110204,ICA,CHINCHA,CHINCHA BAJA,129945,Chincha Baja,CHINCHA BAJA,3,1,GIPSLD,1102040001,,1102040001,MED-GPS,36,-76.16169055,-13.4590213,-89.62071185
110211,ICA,CHINCHA,TAMBO DE MORA,124573,Tambo De Mora,TAMBO DE MORA,3,1,PS,1102110001,,1102110001,MED-GPS,6,-76.18260239,-13.45844467,-89.64104706
110202,ICA,CHINCHA,ALTO LARAN,120951,Alto Laran,ALTO LARAN,3,1,GIPS,1102020001,,1102020001,MED-GPS,145,-76.0829474,-13.44253666,-89.52548406
110207,ICA,CHINCHA,PUEBLO NUEVO,211942,Pueblo Nuevo,PUEBLO NUEVO,3,1,GIPSKLED,1102070001,,1102070001,MED-GPS,125,-76.12720757,-13.40470806,-89.53191563
30609,APURIMAC,CHINCHEROS,ROCCHACC,238100,Rocchacc,ROCCHACC,3,1,GIPSL,306090001,,306060025,MED-GPS,3034,-73.60015685,-13.44042002,-87.04057687
30611,APURIMAC,CHINCHEROS,LOS CHANKAS,125742,Rio Blanco,RIO BLANCO,3,1,IPSL,306110001,,306040066,MED-GPS,2036,-73.82230135,-13.4352286,-87.25752995
80405,CUSCO,CALCA,PISAC,113385,Pisac,PISAC,3,1,IPSD,804050001,,804050001,MED-GPS,2977,-71.85041577,-13.4210399,-85.27145567
80407,CUSCO,CALCA,TARAY,132907,Taray,TARAY,3,1,GIP,804070001,,804070001,MED-GPS,2975,-71.86709902,-13.42730866,-85.29440768
110210,ICA,CHINCHA,SUNAMPE,115299,Sunampe,SUNAMPE,3,1,GIPSD,1102100001,,1102100001,MED-GPS,68,-76.16428104,-13.42733965,-89.59162069
30606,APURIMAC,CHINCHEROS,ONGOY,129822,Ongoy,ONGOY,3,1,IPS,306060001,,306060001,MED-GPS,2782,-73.66845206,-13.40316232,-87.07161438
30604,APURIMAC,CHINCHEROS,HUACCANA,126047,Huaccana,HUACCANA,3,1,GIPSKLED,306040001,,306040001,MED-GPS,3082,-73.69002691,-13.38809652,-87.07812343
80403,CUSCO,CALCA,LAMAY,112602,Lamay,LAMAY,3,1,GIPS,804030001,,804030001,MED-GPS,2948,-71.92026652,-13.36474816,-85.28501468
150812,LIMA,HUAURA,VEGUETA,121129,Vegueta,VEGUETA,3,1,IPSD,1508120001,,1508120001,MED-GPS,18,-77.64428557,-11.0233334,-88.66761897
80402,CUSCO,CALCA,COYA,131998,Coya,COYA,3,1,GIPS,804020001,,804020001,MED-GPS,2950,-71.8989514,-13.3865709,-85.2855223
90413,HUANCAVELICA,CASTROVIRREYNA,TICRAPO,112159,Ticrapo,TICRAPO,3,1,GIPSKLE,904130001,,904130001,MED-GPS,2221,-75.4325004,-13.38179927,-88.81429967
50511,AYACUCHO,LA MAR,ORONCCOY,242067,Oronccoy,ORONCCOY,3,1,IPS,505110001,,505050056,INEI,3718,-73.43594867,-13.38073162,-86.81668029
90409,HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,116672,Mollepampa,MOLLEPAMPA,3,1,IPS,904090001,,904090001,MED-GPS,2485,-75.40999401,-13.3112068,-88.72120081
50109,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,125885,San Jose de Ticllas,SAN JOSE DE TICLLAS,3,1,IPS,501090001,,501090001,MED-GPS,3266,-74.33332611,-13.13233733,-87.46566344
