CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
0358305,AMANECER,131213,LOS CALDERONES,MED_GPS,-75.70216001300,-14.15768164100,7/12/2016,,399,-14.157681641-75.702160013
0358306,MI FLORCITA,110425,PAMPA DE TATE,MED_GPS,-75.69067420200,-14.15739851700,7/12/2016,,407,-14.157398517-75.690674202
0358302,RAYITO DE SOL,129414,TATE DE LA CAPILLA,MED_GPS,-75.71027597100,-14.15561443900,7/12/2016,,395,-14.155614439-75.710275971
0358307,ARCO IRIS,530147,PUNO,MED_GPS,-75.70590349100,-14.14570905500,7/12/2016,,400,-14.145709055-75.705903491
0355911,MI PRIMER PASO,123564,PUEBLO NUEVO,MED_GPS,-75.70705709400,-14.12833554700,7/14/2016,,403,-14.128335547-75.707057094
0351104,ESTRELLITAS DE BELEN,540627,CACHICHE,MED_GPS,-75.73621850500,-14.09783418800,7/15/2016,,396,-14.097834188-75.736218505
0354201,MIS ANGELITOS,651584,LA PALMA GRANDE,MED_GPS,-75.73253839900,-14.08046988100,7/15/2016,,404,-14.080469881-75.732538399
0348403,GOTITAS DE MIEL,562925,MANZANILLA,MED_GPS,-75.72214892200,-14.07617494000,7/15/2016,,404,-14.07617494-75.722148922
0347606,CORAZONCITO DE JESUS,550774,ACOMAYO,MED_GPS,-75.71746024600,-14.06904267000,7/18/2016,,405,-14.06904267-75.717460246
0364809,MARIA AUXILIADORA,683201,KEIKO SOFIA FUJIMORI,MED_GPS,-75.74861116400,-14.06320508400,7/16/2016,,408,-14.063205084-75.748611164
0361702,MIS ANGELITOS,683202,LOS FLORALES,MED_GPS,-75.72214643400,-14.06328475500,7/18/2016,,405,-14.063284755-75.722146434
3855537,CIELITO,125092,SAN JOAQUIN,MED_GPS,-75.74536247600,-14.05788801300,7/16/2016,,409,-14.057888013-75.745362476
212318,22348 SANTIAGO BARRIOS TORREALVA,125894,SAN FELIPE,MED_GPS,-75.67909803900,-14.38285659400,7/8/2016,,314,-14.382856594-75.679098039
212323,22526 MEDARDO APARCANA HERNANDEZ,113380,BARRIO NUEVO,MED_GPS,-75.67752522500,-14.34410162700,7/8/2016,,323,-14.344101627-75.677525225
213515,ADELA LENGUA DE CALDERON,119440,LA VENTA BAJA,MED_GPS,-75.68219906900,-14.28699399800,7/8/2016,,345,-14.286993998-75.682199069
213450,22577 HECTOR FRANCISCO CORTEZ CABRERA,116676,HUAYLAS-HUARANGO MOCHO,MED_GPS,-75.69708606900,-14.18985081600,7/10/2016,,390,-14.189850816-75.697086069
213520,FRAY RAMON ROJAS,133389,SANTIAGO,MED_GPS,-75.71413634700,-14.18681698800,7/10/2016,,379,-14.186816988-75.714136347
213539,CEBA - SEBASTIAN BARRANCA,133389,SANTIAGO,MED_GPS,-75.71440491100,-14.18439313600,7/10/2016,,378,-14.184393136-75.714404911
213780,RICARDO PALMA,129414,TATE DE LA CAPILLA,MED_GPS,-75.70713089500,-14.15342036500,7/11/2016,,399,-14.153420365-75.707130895
212399,NUESTRA SE├æORA DEL ROSARIO,110425,PAMPA DE TATE,MED_GPS,-75.69284611400,-14.15098107500,7/12/2016,,408,-14.150981075-75.692846114
212790,GABINO CHACALTANA HERNANDEZ,123564,PUEBLO NUEVO,MED_GPS,-75.70750844300,-14.12868863900,7/14/2016,,401,-14.128688639-75.707508443
212182,22316 IRMA MENDOZA DE CORDOVA,531514,PARI├æA CHICO,MED_GPS,-75.69279744800,-14.11468667800,7/14/2016,,413,-14.114686678-75.692797448
212219,JOSE GREGORIO HUAMAN GIRAO,124014,EL ARENAL,MED_GPS,-75.70220297400,-14.09371159900,7/14/2016,,411,-14.093711599-75.702202974
634790,SANTIAGO,133389,SANTIAGO,MED_GPS,-75.71337652300,-14.18743043900,7/11/2016,,380,-14.187430439-75.713376523
0354205,LA CASITA DE JESUS,651584,LA PALMA GRANDE,MED_GPS,-75.73253839900,-14.08046988100,7/15/2016,,404,-14.080469881-75.732538399
0348411,ARCO IRIS,651584,LA PALMA GRANDE,MED_GPS,-75.73253839900,-14.08046988100,7/15/2016,,404,-14.080469881-75.732538399
634525,22581,132016,CORDOVA,MED_GPS,-75.68522060100,-14.36614627800,7/8/2016,,315,-14.366146278-75.685220601
