1,1,1,1,1
0,Huamampallpa,1,-72.53126621,-13.99202976
1,CampoVerde,2,-73.68263125,-11.23852662
2,Manantial,6,-73.73216629,-11.05266063
3,SumacWassi,4,-75.69002867,-14.0320047
4,AnaJaraVelasquez,2,-75.76846719,-13.96906928
5,SelvaVerde,1,-71.41628373,-12.93040825
6,AngeldelaLuz,5,-80.25141478,-3.694722345
