UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
030704,APURIMAC,GRAU,HUAYLLATI,683891,Huamampallpa,HUAMAMPALLPA,0,1,G,,,,DRE/UGEL,3896,-72.53126621200,-13.99202975700,-13.992029757-72.5312662119999
120608,JUNIN,SATIPO,RIO TAMBO,683892,Campo Verde,CAMPO VERDE,0,1,G,,,,DRE/UGEL,281,-73.68263125400,-11.23852662000,-11.23852662-73.6826312539999
120608,JUNIN,SATIPO,RIO TAMBO,683893,Manantial,MANANTIAL,0,1,G,,,,DRE/UGEL,256,-73.73216629000,-11.05266063100,-11.052660631-73.73216629
110102,ICA,ICA,LA TINGUI├æA,683894,Sumac Wassi,SUMAC WASSI,0,1,G,,,,DRE/UGEL,478,-75.69002866700,-14.03200469900,-14.032004699-75.690028667
110108,ICA,ICA,SALAS,683895,Ana Jara Velasquez,ANA JARA VELASQUEZ,0,1,G,,,,DRE/UGEL,443,-75.76846718800,-13.96906928400,-13.9690692839999-75.768467188
081106,CUSCO,PAUCARTAMBO,KOS├æIPATA,683896,Selva Verde,SELVA VERDE,0,1,G,,,,DRE/UGEL,608,-71.41628372700,-12.93040825200,-12.9304082519999-71.416283727
240303,TUMBES,ZARUMILLA,MATAPALO,683897,Angel de la Luz,ANGEL DE LA LUZ,0,1,G,,,,DRE/UGEL,93,-80.25141477600,-3.69472234500,-3.69472234499995-80.251414776
150118,LIMA,LIMA,LURIGANCHO,683898,Casa Huerta,CASA HUERTA,0,1,G,,,,DRE/UGEL,933,-76.67394340000,-11.91991169100,-11.919911691-76.6739434
220603,SAN MARTIN,MARISCAL CACERES,HUICUNGO,683899,Bella Vista,BELLA VISTA,0,1,G,,,,DRE/UGEL,2139,-77.32246398900,-6.47275634600,-6.47275634599993-77.322463989
200206,PIURA,AYABACA,PACAIPAMPA,683900,Alto Milagro,ALTO MILAGRO,0,1,G,,,,DRE/UGEL,2331,-79.67296421500,-5.01608082400,-5.01608082399997-79.672964215
140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,683901,San Lorenzo,SAN LORENZO,0,1,G,,,,DRE/UGEL,153,-79.76048469500,-5.94475327100,-5.94475327099997-79.7604846949999
020112,ANCASH,HUARAZ,TARICA,683902,Andahuaylas,ANDAHUAYLAS,0,1,G,,,,DRE/UGEL,3158,-77.55023717900,-9.40803864500,-9.40803864499998-77.550237179
220303,SAN MARTIN,EL DORADO,SAN MARTIN,683903,Sector La Union,SECTOR LA UNION,0,1,G,,,,DRE/UGEL,1282,-76.81976437600,-6.41813460700,-6.41813460699996-76.819764376
050507,AYACUCHO,LA MAR,SANTA ROSA,683904,Asociaci├│n de Vivienda Paraiso II,ASOCIACI├ôN DE VIVIENDA PARAISO II,0,0,,,,,DRE/UGEL,738,-73.74342620400,-12.69343577200,-12.6934357719999-73.7434262039999
010202,AMAZONAS,BAGUA,ARAMANGO,521638,Nuevo Gramalotal,NUEVO GRAMALOTAL,0,1,P,0608120014,,0608120014,MED-GPS,1241,-78.51179147000,-5.39164889000,-5.39164888999994-78.5117914699999
200306,PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,222869,Huayanay,HUAYANAY,0,0,,,,,IGN,1191,-79.61153577000,-5.39955389000,-5.39955388999994-79.61153577
200107,PIURA,PIURA,CURA MORI,620009,Nuevo Zona More,NUEVO ZONA MORE,0,1,IP,2001070022,,2001070022,MED-GPS,26,-80.61220295000,-5.39985122000,-5.39985121999996-80.61220295
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,545653,El Horcon La Piria,EL HORCON LA PIRIA,0,1,GIP,0609040038,,0609040038,MED-GPS,1611,-78.92403222000,-5.40194122000,-5.40194121999997-78.92403222
060812,CAJAMARCA,JAEN,SANTA ROSA,523833,Sauce,SAUCE,0,0,,,,,IGN,1103,-78.53878102000,-5.39925039000,-5.39925038999996-78.53878102
060419,CAJAMARCA,CHOTA,CHALAMARCA,683869,Santa Rosa,SANTA ROSA,0,1,I,,,,PROVIAS,2611,-78.46589243800,-6.50498731600,-6.50498731599993-78.465892438
022008,ANCASH,YUNGAY,YANAMA,683870,Shirapampa,SHIRAPAMPA,0,0,,0220080044,,0220080044,INEI,3324,-77.40148166700,-9.01262500000,-9.01262499999996-77.401481667
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,683871,Villa Rica,VILLA RICA,0,0,,0105170018,,0105170018,INEI,2128,-77.80862333300,-6.64302500000,-6.64302499999997-77.808623333
050603,AYACUCHO,LUCANAS,CABANA,235135,Surapunco,SURAPUNCO,0,0,,,,,IGN,4308,-74.14069602000,-14.44505879000,-14.44505879-74.14069602
