117,Parashpata,-76.74489414,-9.8958204
118,Hierbabuena,-76.62399838,-9.89579015
119,Cormilla,-75.80365065,-9.89552865
120,Tipsa,-75.94169188,-9.89552484
121,Chiclapata,-76.49984139,-9.89518165
122,Ushuo Jircan,-76.49371302,-9.89514128
123,Minas Pampa,-76.507265,-9.902831666
124,Atoghuin,-76.55564689,-9.8950204
125,Huancan,-76.35966715,-9.89493303
126,Cucho,-76.02059296,-9.89480262
127,Pariatuna,-77.64775065,-9.89466515
128,San Agustin de Chuntarragra,-76.56763305,-9.87850121
129,Cullcuy,-76.19008364,-9.8784296
130,Shiqui Chico,-76.839663,-9.87832357
131,Yanarumi,-76.51882039,-9.87772027
132,Chachaspata,-76.05694627,-9.87756878
133,Magapata,-76.78542802,-9.87739303
134,Alto Morona,-74.98567952,-9.88683006
135,San Juan de Tingo,-76.48164167,-9.842393333
136,Millo Millo,-76.36909653,-9.8866979
137,Mamayhuachin,-76.35048165,-9.8866649
138,Creston,-77.77067451,-9.88661915
139,Casa Blanca,-76.01844,-9.879813333
140,Canachuco,-76.6183144,-9.88635366
141,San Cristobal de Jacas Chico,-76.50317305,-9.88625092
142,Queracocha,-76.27367302,-9.88623939
143,Tipsa Alta,-75.93383757,-9.9175206
144,Altos Machay,-76.73729102,-9.91741016
145,Pariagaga,-76.61752228,-9.91731202
146,Huayropampa,-75.88140438,-9.91721965
147,Pampas,-76.6665664,-9.91719353
148,Runto,-76.8927934,-9.91703002
149,Jircancancha,-77.35534365,-9.9170274
150,Sogue Pata,-77.52712039,-9.91681128
151,Huanca Huanca,-76.8290769,-9.91672865
152,Buena Vista,-77.11611815,-9.91655952
153,Rumichaca,-76.6578254,-9.91607403
154,Mesapata,-76.35725703,-9.9158909
155,Callhuayna,-75.94285793,-9.91581329
156,Tucsopom,-76.60816615,-9.91575415
157,Tuto,-75.8874234,-9.91561402
158,Izco Pata,-77.53394489,-9.91544178
159,Parasha Pampa,-76.64132953,-9.91541453
160,Moya,-76.98063376,-9.91541139
161,Rima Rima,-76.76477765,-9.91531665
162,Picahuay,-76.05603461,-9.91502856
163,Lucmapata,-76.37142452,-9.9150229
164,Villa Ramon Castilla,-76.628725,-9.912016667
165,Seccha,-76.80748639,-9.91464395
166,Pilco,-77.64686954,-9.91156335
167,Huayopampa,-76.23371405,-9.91062897
168,Lachumachay,-76.79532602,-9.91061103
169,Ucrucancha,-76.94786989,-9.91060815
170,Miraflores,-74.65290877,-9.91057616
171,Ushumayo,-76.02764321,-9.910454
172,Molino,-76.01643782,-9.9102141
173,Choras,-76.60585288,-9.91001797
174,Allgahuanca,-76.19123844,-9.9098971
175,Puerto Libre,-74.93253054,-9.9105969
176,Ushno Huain,-77.10832802,-9.9095934
177,Colicocha,-75.99693325,-9.90957988
178,Shupla,-76.77084415,-9.90950178
179,Jeshgue,-76.65006978,-9.56356402
180,Rumicucho,-77.53795715,-9.56344902
181,Inchic,-76.36056,-9.494481667
182,Puy Huan,-76.34265167,-9.48473
183,Purush,-77.46238121,-9.56330962
184,Chombor,-77.8143099,-9.56329903
185,San Antonio,-77.56542974,-9.572616794
186,Shaglaya,-76.833755,-9.559146667
187,Shogla,-76.88345916,-9.56292603
188,Los Andes,-76.55285167,-9.873611667
189,San Andres,-76.21371548,-9.88897316
190,Pucaragra,-76.18130303,-9.89033541
191,Ticapampa,-75.96859725,-9.89033525
192,Rashu,-76.04081127,-9.89027891
193,Cachucachujircan,-76.62271777,-9.8901419
194,Illaruri,-76.538415,-9.902118333
195,Mitotambo,-76.42703708,-9.88998767
196,Oyos,-78.12780328,-9.88997978
197,Ramos Pampa / Ramos Curva,-76.06424527,-9.88980602
198,Quitchki,-76.48117,-9.89307
199,Jircacocha,-76.28252,-9.889848333
200,Chamana Ucro,-76.14242076,-9.88954715
201,Mantacocha,-76.00797284,-9.88954404
202,Huaynacancha,-76.70483727,-9.88949827
203,Puyac,-76.61329781,-9.88940352
204,Ayajaman,-76.61160503,-9.88930565
205,Millpo,-77.22617528,-9.88924515
206,Lucma,-77.70776878,-9.8891199
207,Flor de Un Dia,-75.14736391,-9.90107953
208,Yurac Yacu,-76.56339141,-9.90087477
209,Chacabamba,-76.61100208,-9.90085169
210,Parashapampa,-76.76552227,-9.90083665
211,Chipajilcan,-76.61098301,-9.90080965
212,Pucayacu,-76.5069525,-9.90063017
213,Gaga Esquina,-76.64038328,-9.90059191
214,El Regadero,-75.20460715,-9.9005604
215,Paccha,-77.64146167,-9.903078333
216,Yarina,-74.96274982,-9.89954596
217,Puca Puca,-76.75138301,-9.90017728
218,Colpa,-76.74293,-9.898531667
219,Punapampa,-76.70086001,-9.89977177
220,Jayunogo,-76.49113278,-9.86460564
221,Huansala,-77.008741,-9.87258306
222,Rumi Chacca,-76.51536451,-9.8644929
223,Challhuayog,-75.96546459,-9.86441314
224,Layavado,-76.8952274,-9.86436241
225,Shiusha,-76.53779265,-9.87780714
226,Avanza,-76.79219928,-9.7749844
227,Huarurruri,-77.5983064,-9.77492415
228,Kanyasyami,-77.60940503,-9.77488478
229,Cangrash Huay,-76.61774833,-9.880358333
230,Jatun Ogo,-76.50423203,-9.8734344
231,Playa Grande,-75.53391033,-9.869917317
232,Runtuvado,-76.83589427,-9.8812874
233,Mirachi,-76.14908408,-9.88127944
234,Huariaco,-76.58042667,-9.821375
235,San Martin,-76.61633404,-9.8811777
236,Rambrash Ragran,-76.62037,-9.883491667
237,San Damian,-77.7707875,-9.88387181
238,Cashacancha,-77.44507853,-9.88077353
239,Colpa Baja,-76.2136434,-9.88058087
240,Cashajanan,-77.70186764,-9.88018241
241,Huishgas Corral,-76.74099065,-9.88013528
242,Huichanan,-76.65858752,-9.8820894
243,Ututorajra,-76.90782053,-9.8816824
244,Maryaragraj,-76.1829179,-9.88164102
245,Huarapasca,-77.18049478,-9.88150303
246,Tuna Cancha,-77.07067167,-9.89818
247,San Jorge de Pachitea,-74.9346594,-9.8814144
248,Hilancancha,-76.68895166,-9.7917869
249,Yanac,-77.40541627,-9.79175602
250,Pasuy,-76.00528589,-9.79174215
251,Mitucancha,-77.70530565,-9.79173478
252,Guenuay Punta,-76.73922833,-9.790138333
253,Sirabamba,-76.31251897,-9.79121751
254,Buena Vista,-76.71654703,-9.79117202
255,Pachanpuquio,-76.89709333,-9.797703333
256,Moncerrate,-77.61373143,-9.78974314
257,San Pedro de Wilcahuasi,-76.52838833,-9.801395
258,Osapata,-75.87982777,-9.7909649
259,Marca Punco,-77.43895,-9.7979
260,Llamallushcay,-76.79435263,-9.5855539
261,Jaturpac,-76.84430478,-9.58550928
262,Cuto,-74.94440228,-9.5854379
263,Manca Peque,-76.9557669,-9.5854189
