UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),211648,Chayac Chico,CHAYAC CHICO,0,0,,,,,IGN,3609,-76.40679127000,-9.85148989000,-9.85148988999993-76.40679127
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),234215,Jarapacha,JARAPACHA,0,0,,,,,IGN,3644,-76.47842489000,-9.85145228000,-9.85145227999993-76.47842489
101101,HUANUCO,YAROWILCA,CHAVINILLO,619925,Puto Shongo,PUTO SHONGO,0,0,,1011010060,,1011010060,INEI,3625,-76.59591666700,-9.84601833300,-9.84601833299996-76.595916667
100104,HUANUCO,HUANUCO,CHURUBAMBA,129562,Tumacpampa,TUMACPAMPA,0,1,GP,1001040088,,1001040088,MED-GPS,2375,-76.10632268000,-9.85091958000,-9.85091957999998-76.1063226799999
101102,HUANUCO,YAROWILCA,CAHUAC,622384,Pulpuliag,PULPULIAG,0,0,,1011020011,,1011020011,INEI,3409,-76.63496833300,-9.85097364200,-9.85097364199993-76.634968333
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,535661,Taruca,TARUCA,0,0,,1001090071,,1001090071,IGN,1867,-76.14941827000,-9.85085177000,-9.85085176999996-76.14941827
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,543394,Uncho,UNCHO,0,0,,1001090047,,1001090047,IGN,2164,-76.28459227000,-9.85064341000,-9.85064340999998-76.28459227
100804,HUANUCO,PACHITEA,UMARI,222823,Huiyan,HUIYAN,0,1,IP,1008040012,,1008040012,MED-GPS,2798,-76.00744672000,-9.85057794000,-9.85057793999994-76.00744672
100301,HUANUCO,DOS DE MAYO,LA UNION,122606,Guellaycancha,GUELLAYCANCHA,0,1,IPS,1003010007,,1003010007,MED-GPS,3576,-76.79487011000,-9.85027509000,-9.85027508999997-76.79487011
101102,HUANUCO,YAROWILCA,CAHUAC,616461,Jatun Ogo,JATUN OGO,0,0,,1011020006,,1011020006,INEI,3688,-76.64645998600,-9.84880997800,-9.84880997799996-76.646459986
020508,ANCASH,BOLOGNESI,HUALLANCA,229474,Ututo,UTUTO,0,0,,0205080024,,0205080024,IGN,4045,-76.92030727000,-9.84997115000,-9.84997114999993-76.92030727
