Name;xCord;yCord
Huamampallpa;-72.53126621200;-13.99202975700
Campo Verde;-73.68263125400;-11.23852662000
Manantial;-73.73216629000;-11.05266063100
Sumac Wassi;-75.69002866700;-14.03200469900
Ana Jara Velasquez;-75.76846718800;-13.96906928400
Selva Verde;-71.41628372700;-12.93040825200
Angel de la Luz;-80.25141477600;-3.69472234500
Casa Huerta;-76.67394340000;-11.91991169100
